,MA5,MA20,MA60,MA120,MA200
Nasdaq,172.45390625000073 (1.504),379.91196289062464 (3.314),443.72250976562464 (3.871),7.357836914063228 (0.064),-564.9677001953114 (-4.92)
DJIA,206.54843750000143 (0.599),739.888671875 (2.148),2784.0261718750007 (8.086),2643.343896484377 (7.677),1970.9695703125 (5.724)
S&P500,41.7099609375 (1.024),117.70742187499992 (2.890),242.7302693684892 (5.961),164.78185221354215 (4.047),25.3888867187502 (0.623)
