Date,기준금리,SHY,IEF,TLT
2012-01-03,0.25%,84.44999694824219,104.9000015258789,119.43000030517578
2012-01-04,0.25%,84.45999908447266,104.56999969482422,118.01000213623048
2012-01-05,0.25%,84.47000122070312,104.58999633789062,117.8000030517578
2012-01-06,0.25%,84.45999908447266,105.0,118.7300033569336
2012-01-09,0.25%,84.4800033569336,105.0199966430664,118.5199966430664
2012-01-10,0.25%,84.48999786376953,104.80999755859376,118.31999969482422
2012-01-11,0.25%,84.5199966430664,105.41999816894533,119.86000061035156
2012-01-12,0.25%,84.51000213623047,105.1999969482422,119.69000244140624
2012-01-13,0.25%,84.52999877929688,105.66999816894533,120.87999725341795
2012-01-17,0.25%,84.54000091552734,105.7699966430664,121.44000244140624
2012-01-18,0.25%,84.52999877929688,105.44000244140624,119.97000122070312
2012-01-19,0.25%,84.52999877929688,104.80999755859376,118.31999969482422
2012-01-20,0.25%,84.51000213623047,104.4499969482422,116.9800033569336
2012-01-23,0.25%,84.5199966430664,104.22000122070312,116.23999786376952
2012-01-24,0.25%,84.5199966430664,104.33999633789062,116.4499969482422
2012-01-25,0.25%,84.56999969482422,104.83999633789062,116.16999816894533
2012-01-26,0.25%,84.58000183105469,105.4000015258789,117.70999908447266
2012-01-27,0.25%,84.5999984741211,105.72000122070312,118.08000183105467
2012-01-30,0.25%,84.56999969482422,106.08000183105467,119.47000122070312
2012-01-31,0.25%,84.56999969482422,106.4800033569336,120.8499984741211
2012-02-01,0.25%,84.51000213623047,105.91999816894533,119.18000030517578
2012-02-02,0.25%,84.5199966430664,106.06999969482422,119.12999725341795
2012-02-03,0.25%,84.5199966430664,105.2300033569336,116.56999969482422
2012-02-06,0.25%,84.5,105.5199966430664,117.7300033569336
2012-02-07,0.25%,84.4800033569336,104.83999633789062,116.2699966430664
2012-02-08,0.25%,84.4800033569336,104.88999938964844,116.36000061035156
2012-02-09,0.25%,84.44000244140625,104.6500015258789,115.48999786376952
2012-02-10,0.25%,84.45999908447266,105.23999786376952,116.98999786376952
2012-02-13,0.25%,84.41000366210938,105.16999816894533,117.13999938964844
2012-02-14,0.25%,84.43000030517578,105.38999938964844,117.76000213623048
2012-02-15,0.25%,84.44000244140625,105.47000122070312,117.5500030517578
2012-02-16,0.25%,84.41000366210938,104.98999786376952,116.61000061035156
2012-02-17,0.25%,84.38999938964844,104.87999725341795,116.58000183105467
2012-02-21,0.25%,84.37000274658203,104.5,115.29000091552734
2012-02-22,0.25%,84.41000366210938,104.91000366210938,116.73999786376952
2012-02-23,0.25%,84.4000015258789,105.05999755859376,116.73999786376952
2012-02-24,0.25%,84.37999725341797,105.13999938964844,117.5
2012-02-27,0.25%,84.4000015258789,105.48999786376952,118.54000091552734
2012-02-28,0.25%,84.41999816894531,105.54000091552734,118.1500015258789
2012-02-29,0.25%,84.41999816894531,105.12000274658205,117.43000030517578
2012-03-01,0.25%,84.37000274658203,104.61000061035156,116.05999755859376
2012-03-02,0.25%,84.38999938964844,105.02999877929688,117.1500015258789
2012-03-05,0.25%,84.38999938964844,104.81999969482422,116.22000122070312
2012-03-06,0.25%,84.38999938964844,105.26000213623048,117.62999725341795
2012-03-07,0.25%,84.37000274658203,105.05999755859376,116.91000366210938
2012-03-08,0.25%,84.33999633789062,104.75,115.73999786376952
2012-03-09,0.25%,84.33999633789062,104.66999816894533,115.97000122070312
2012-03-12,0.25%,84.3499984741211,104.63999938964844,115.9499969482422
2012-03-13,0.25%,84.30000305175781,103.88999938964844,113.91000366210938
2012-03-14,0.25%,84.18000030517578,102.6999969482422,111.04000091552734
2012-03-15,0.25%,84.2300033569336,102.66999816894533,111.20999908447266
2012-03-16,0.25%,84.27999877929688,102.63999938964844,111.43000030517578
2012-03-19,0.25%,84.22000122070312,102.01000213623048,110.0999984741211
2012-03-20,0.25%,84.19999694824219,102.05999755859376,110.54000091552734
2012-03-21,0.25%,84.25,102.58000183105467,111.79000091552734
2012-03-22,0.25%,84.26000213623047,102.70999908447266,112.1500015258789
2012-03-23,0.25%,84.2699966430664,103.08999633789062,113.20999908447266
2012-03-26,0.25%,84.29000091552734,102.97000122070312,112.62999725341795
2012-03-27,0.25%,84.31999969482422,103.54000091552734,113.44000244140624
2012-03-28,0.25%,84.30000305175781,103.36000061035156,113.27999877929688
2012-03-29,0.25%,84.33000183105469,103.79000091552734,114.12999725341795
2012-03-30,0.25%,84.31999969482422,103.27999877929688,112.1999969482422
2012-04-02,0.25%,84.30999755859375,103.3499984741211,112.52999877929688
2012-04-03,0.25%,84.25,102.58999633789062,110.58000183105467
2012-04-04,0.25%,84.2699966430664,103.11000061035156,112.0999984741211
2012-04-05,0.25%,84.30000305175781,103.56999969482422,112.91000366210938
2012-04-09,0.25%,84.36000061035156,104.62999725341795,115.5500030517578
2012-04-10,0.25%,84.4000015258789,105.12000274658205,116.86000061035156
2012-04-11,0.25%,84.38999938964844,104.70999908447266,115.45999908447266
2012-04-12,0.25%,84.4000015258789,104.5,114.9800033569336
2012-04-13,0.25%,84.41000366210938,105.12999725341795,116.83999633789062
2012-04-16,0.25%,84.41000366210938,105.0999984741211,116.66999816894533
2012-04-17,0.25%,84.41000366210938,104.98999786376952,116.5999984741211
2012-04-18,0.25%,84.43000030517578,105.1999969482422,116.94000244140624
2012-04-19,0.25%,84.44000244140625,105.31999969482422,117.0500030517578
2012-04-20,0.25%,84.44000244140625,105.33000183105467,117.06999969482422
2012-04-23,0.25%,84.45999908447266,105.54000091552734,117.91999816894533
2012-04-24,0.25%,84.43000030517578,105.2699966430664,117.08999633789062
2012-04-25,0.25%,84.44999694824219,105.13999938964844,116.48999786376952
2012-04-26,0.25%,84.45999908447266,105.48999786376952,117.19000244140624
2012-04-27,0.25%,84.44000244140625,105.5999984741211,117.29000091552734
2012-04-30,0.25%,84.45999908447266,105.69000244140624,117.31999969482422
2012-05-01,0.25%,84.43000030517578,105.33000183105467,116.43000030517578
2012-05-02,0.25%,84.44000244140625,105.52999877929688,117.25
2012-05-03,0.25%,84.43000030517578,105.5199966430664,117.22000122070312
2012-05-04,0.25%,84.45999908447266,105.94000244140624,118.13999938964844
2012-05-07,0.25%,84.45999908447266,105.91000366210938,118.16000366210938
2012-05-08,0.25%,84.47000122070312,106.1500015258789,118.79000091552734
2012-05-09,0.25%,84.45999908447266,106.23999786376952,118.87000274658205
2012-05-10,0.25%,84.44999694824219,106.08999633789062,118.5199966430664
2012-05-11,0.25%,84.45999908447266,106.44000244140624,119.5
2012-05-14,0.25%,84.44999694824219,106.91000366210938,121.16999816894533
2012-05-15,0.25%,84.44000244140625,106.94000244140624,121.66000366210938
2012-05-16,0.25%,84.43000030517578,107.0199966430664,122.01000213623048
2012-05-17,0.25%,84.38999938964844,107.41999816894533,124.16999816894533
2012-05-18,0.25%,84.4000015258789,107.3499984741211,124.1999969482422
2012-05-21,0.25%,84.41000366210938,107.06999969482422,123.94000244140624
2012-05-22,0.25%,84.37999725341797,106.83999633789062,122.55999755859376
2012-05-23,0.25%,84.41999816894531,107.12000274658205,123.41000366210938
2012-05-24,0.25%,84.38999938964844,106.88999938964844,122.94000244140624
2012-05-25,0.25%,84.43000030517578,107.1999969482422,123.4000015258789
2012-05-29,0.25%,84.41000366210938,107.11000061035156,123.0199966430664
2012-05-30,0.25%,84.44999694824219,108.12999725341795,126.13999938964844
2012-05-31,0.25%,84.4800033569336,108.5500030517578,127.5999984741211
2012-06-01,0.25%,84.45999908447266,109.30999755859376,130.36000061035156
2012-06-04,0.25%,84.44999694824219,108.68000030517578,129.3300018310547
2012-06-05,0.25%,84.47000122070312,108.31999969482422,127.5999984741211
2012-06-06,0.25%,84.44000244140625,107.61000061035156,125.0500030517578
2012-06-07,0.25%,84.43000030517578,107.87000274658205,125.23999786376952
2012-06-08,0.25%,84.43000030517578,107.9499969482422,125.20999908447266
2012-06-11,0.25%,84.43000030517578,108.23999786376952,125.77999877929688
2012-06-12,0.25%,84.38999938964844,107.66000366210938,124.62999725341795
2012-06-13,0.25%,84.37999725341797,108.2300033569336,125.86000061035156
2012-06-14,0.25%,84.38999938964844,107.94000244140624,125.6999969482422
2012-06-15,0.25%,84.41999816894531,108.44000244140624,126.4000015258789
2012-06-18,0.25%,84.4000015258789,108.41000366210938,127.08000183105467
2012-06-19,0.25%,84.38999938964844,108.04000091552734,125.41999816894533
2012-06-20,0.25%,84.36000061035156,107.81999969482422,126.04000091552734
2012-06-21,0.25%,84.37000274658203,108.0500030517578,126.70999908447266
2012-06-22,0.25%,84.37999725341797,107.58000183105467,125.0199966430664
2012-06-25,0.25%,84.37999725341797,108.16999816894533,126.83999633789062
2012-06-26,0.25%,84.36000061035156,107.93000030517578,126.33999633789062
2012-06-27,0.25%,84.36000061035156,108.08000183105467,126.54000091552734
2012-06-28,0.25%,84.37000274658203,108.43000030517578,126.8499984741211
2012-06-29,0.25%,84.37000274658203,107.93000030517578,125.1999969482422
2012-07-02,0.25%,84.37000274658203,108.2699966430664,126.22000122070312
2012-07-03,0.25%,84.3499984741211,108.0,125.25
2012-07-05,0.25%,84.37999725341797,108.29000091552734,125.88999938964844
2012-07-06,0.25%,84.41000366210938,108.66999816894533,127.05999755859376
2012-07-09,0.25%,84.41000366210938,108.97000122070312,128.17999267578125
2012-07-10,0.25%,84.41000366210938,109.0199966430664,128.44000244140625
2012-07-11,0.25%,84.41999816894531,108.91999816894533,128.60000610351562
