Date,QQQ,SOXX,XBI,XOP,IYH
2012-01-03,56.900001525878906,50.02000045776367,22.09000015258789,218.60000610351562,72.33999633789062
2012-01-04,57.13999938964844,50.02000045776367,22.010000228881836,221.16000366210938,72.01000213623047
2012-01-05,57.61000061035156,50.70000076293945,22.780000686645508,220.75999450683594,72.31999969482422
2012-01-06,57.810001373291016,50.83000183105469,23.19333267211914,218.36000061035156,72.41000366210938
2012-01-09,57.619998931884766,51.86000061035156,23.676666259765625,217.27999877929688,72.58000183105469
2012-01-10,58.040000915527344,52.380001068115234,24.07666778564453,220.24000549316406,73.25
2012-01-11,58.15999984741211,52.560001373291016,24.57666778564453,216.24000549316406,73.33999633789062
2012-01-12,58.38999938964844,53.119998931884766,24.59666633605957,214.27999877929688,73.5199966430664
2012-01-13,58.18000030517578,52.040000915527344,24.600000381469727,210.67999267578125,73.2300033569336
2012-01-17,58.709999084472656,52.189998626708984,24.676666259765625,213.0399932861328,73.70999908447266
2012-01-18,59.4900016784668,54.84000015258789,24.8700008392334,218.1199951171875,74.12000274658203
2012-01-19,59.86000061035156,55.93000030517578,24.69333267211914,216.47999572753906,74.12000274658203
2012-01-20,59.77000045776367,56.20000076293945,24.459999084472656,215.16000366210938,74.12000274658203
2012-01-23,59.790000915527344,56.02000045776367,24.21666717529297,221.72000122070312,73.79000091552734
2012-01-24,59.68000030517578,56.220001220703125,24.536666870117188,220.8800048828125,73.87999725341797
2012-01-25,60.43000030517578,56.459999084472656,25.156667709350586,227.0,74.55000305175781
2012-01-26,60.220001220703125,55.869998931884766,24.883333206176758,220.0399932861328,74.16000366210938
2012-01-27,60.400001525878906,56.04999923706055,25.90333366394043,222.60000610351562,74.43000030517578
2012-01-30,60.45000076293945,55.470001220703125,25.510000228881836,219.67999267578125,74.16000366210938
2012-01-31,60.529998779296875,55.5099983215332,25.536666870117188,218.32000732421875,74.25
2012-02-01,61.02000045776367,56.75,26.293333053588867,218.32000732421875,75.08000183105469
2012-02-02,61.209999084472656,57.060001373291016,26.633333206176758,219.60000610351562,74.95999908447266
2012-02-03,62.04999923706055,57.95000076293945,26.926666259765625,223.63999938964844,75.25
2012-02-06,62.0,57.290000915527344,27.44333267211914,228.32000732421875,75.08000183105469
2012-02-07,62.130001068115234,57.31999969482422,27.016666412353516,230.8800048828125,75.25
2012-02-08,62.459999084472656,58.0099983215332,26.56999969482422,231.16000366210938,75.0
2012-02-09,62.90999984741211,58.20000076293945,26.406667709350586,231.24000549316406,74.79000091552734
2012-02-10,62.470001220703125,57.06999969482422,26.19333267211914,229.67999267578125,74.58000183105469
2012-02-13,63.04999923706055,57.2400016784668,27.0,233.24000549316406,75.18000030517578
2012-02-14,63.209999084472656,57.45000076293945,26.573333740234375,235.0399932861328,75.25
2012-02-15,62.77000045776367,57.75,26.49333381652832,236.8800048828125,75.20999908447266
2012-02-16,63.630001068115234,59.20000076293945,26.866666793823242,241.39999389648438,75.80999755859375
2012-02-17,63.43000030517578,58.650001525878906,26.21666717529297,242.0800018310547,75.44000244140625
2012-02-21,63.61000061035156,57.849998474121094,25.616666793823242,243.72000122070312,74.86000061035156
2012-02-22,63.31999969482422,57.63999938964844,25.510000228881836,241.36000061035156,74.91999816894531
2012-02-23,63.7400016784668,57.7400016784668,26.126667022705078,244.55999755859375,75.0
2012-02-24,63.959999084472656,57.560001373291016,26.170000076293945,245.36000061035156,75.37000274658203
2012-02-27,64.05000305175781,57.619998931884766,26.01333236694336,244.67999267578125,75.41999816894531
2012-02-28,64.69999694824219,58.54999923706055,25.860000610351562,241.8000030517578,75.80000305175781
2012-02-29,64.41000366210938,57.68000030517578,25.6200008392334,237.27999877929688,75.33000183105469
2012-03-01,64.91999816894531,57.720001220703125,25.8799991607666,241.39999389648438,75.66000366210938
2012-03-02,64.87000274658203,57.06999969482422,25.67333221435547,236.1999969482422,75.54000091552734
2012-03-05,64.19999694824219,55.709999084472656,25.39666748046875,232.9600067138672,75.36000061035156
2012-03-06,63.56999969482422,55.189998626708984,24.799999237060547,228.55999755859375,74.2300033569336
2012-03-07,64.05999755859375,56.0,24.963333129882812,232.83999633789062,74.51000213623047
2012-03-08,64.75,56.83000183105469,25.48666763305664,237.0,75.44000244140625
2012-03-09,65.0199966430664,57.45000076293945,25.68000030517578,238.55999755859375,75.76000213623047
2012-03-12,65.05000305175781,56.900001525878906,25.549999237060547,235.1999969482422,75.68000030517578
2012-03-13,66.26000213623047,58.13999938964844,25.950000762939453,239.24000549316406,76.73999786376953
2012-03-14,66.48999786376953,57.95000076293945,25.80666732788086,236.16000366210938,76.70999908447266
2012-03-15,66.68000030517578,59.099998474121094,26.123332977294922,237.9199981689453,76.94999694824219
2012-03-16,66.5199966430664,59.20000076293945,26.15999984741211,242.55999755859375,76.91999816894531
2012-03-19,66.98999786376953,59.619998931884766,26.386667251586914,245.32000732421875,76.95999908447266
2012-03-20,67.11000061035156,59.150001525878906,25.926666259765625,239.52000427246094,76.61000061035156
2012-03-21,67.12000274658203,59.38999938964844,26.1299991607666,238.0399932861328,76.58000183105469
2012-03-22,66.9800033569336,59.06999969482422,26.023332595825195,230.1199951171875,76.3499984741211
2012-03-23,66.94000244140625,59.189998626708984,26.15333366394043,235.1199951171875,76.51000213623047
2012-03-26,68.11000061035156,59.900001525878906,26.793333053588867,236.39999389648438,77.4800033569336
2012-03-27,68.20999908447266,59.880001068115234,26.553333282470703,233.52000427246094,77.5999984741211
2012-03-28,67.94000244140625,59.189998626708984,26.77666664123535,228.39999389648438,77.44000244140625
