Date,Nasdaq,DJIA,S&P500
2022-02-17,13716.7197265625,34312.03125,4380.259765625
2022-02-18,13548.0703125,34079.1796875,4348.8701171875
2022-02-22,13381.51953125,33596.609375,4304.759765625
2022-02-23,13037.490234375,33131.76171875,4225.5
2022-02-24,13473.58984375,33223.828125,4288.7001953125
2022-02-25,13694.6201171875,34058.75,4384.64990234375
2022-02-28,13751.400390625,33892.6015625,4373.93994140625
2022-03-01,13532.4599609375,33294.94921875,4306.259765625
2022-03-02,13752.01953125,33891.3515625,4386.5400390625
2022-03-03,13537.9404296875,33794.66015625,4363.490234375
2022-03-04,13313.4404296875,33614.80078125,4328.8701171875
2022-03-07,12830.9599609375,32817.37890625,4201.08984375
2022-03-08,12795.5498046875,32632.640625,4170.7001953125
2022-03-09,13255.5498046875,33286.25,4277.8798828125
2022-03-10,13129.9599609375,33174.0703125,4259.52001953125
2022-03-11,12843.8095703125,32944.19140625,4204.31005859375
2022-03-14,12581.2197265625,32945.23828125,4173.10986328125
2022-03-15,12948.6201171875,33544.33984375,4262.4501953125
2022-03-16,13436.5498046875,34063.1015625,4357.85986328125
2022-03-17,13614.7802734375,34480.76171875,4411.669921875
2022-03-18,13893.83984375,34754.9296875,4463.1201171875
2022-03-21,13838.4599609375,34552.98828125,4461.18017578125
2022-03-22,14108.8203125,34807.4609375,4511.60986328125
2022-03-23,13922.599609375,34358.5,4456.240234375
2022-03-24,14191.83984375,34707.94140625,4520.16015625
2022-03-25,14169.2998046875,34861.23828125,4543.06005859375
2022-03-28,14354.900390625,34955.890625,4575.52001953125
2022-03-29,14619.6396484375,35294.19140625,4631.60009765625
2022-03-30,14442.26953125,35228.80859375,4602.4501953125
2022-03-31,14220.51953125,34678.3515625,4530.41015625
2022-04-01,14261.5,34818.26953125,4545.85986328125
2022-04-04,14532.5498046875,34921.87890625,4582.64013671875
2022-04-05,14204.169921875,34641.1796875,4525.1201171875
2022-04-06,13888.8203125,34496.51171875,4481.14990234375
2022-04-07,13897.2998046875,34583.5703125,4500.2099609375
2022-04-08,13711.0,34721.12109375,4488.27978515625
2022-04-11,13411.9599609375,34308.078125,4412.52978515625
2022-04-12,13371.5703125,34220.359375,4397.4501953125
2022-04-13,13643.58984375,34564.58984375,4446.58984375
2022-04-14,13351.080078125,34451.23046875,4392.58984375
2022-04-18,13332.3603515625,34411.69140625,4391.68994140625
2022-04-19,13619.66015625,34911.19921875,4462.2099609375
2022-04-20,13453.0703125,35160.7890625,4459.4501953125
2022-04-21,13174.650390625,34792.76171875,4393.66015625
2022-04-22,12839.2900390625,33811.3984375,4271.77978515625
2022-04-25,13004.849609375,34049.4609375,4296.1201171875
2022-04-26,12490.740234375,33240.1796875,4175.2001953125
2022-04-27,12488.9296875,33301.9296875,4183.9599609375
2022-04-28,12871.5302734375,33916.390625,4287.5
2022-04-29,12334.6396484375,32977.2109375,4131.93017578125
2022-05-02,12536.01953125,33061.5,4155.3798828125
2022-05-03,12563.759765625,33128.7890625,4175.47998046875
2022-05-04,12964.8603515625,34061.05859375,4300.169921875
2022-05-05,12317.6904296875,32997.96875,4146.8701171875
2022-05-06,12144.66015625,32899.37109375,4123.33984375
2022-05-09,11623.25,32245.69921875,3991.239990234375
2022-05-10,11737.669921875,32160.740234375,4001.050048828125
2022-05-11,11364.240234375,31834.109375,3935.179931640625
2022-05-12,11370.9599609375,31730.30078125,3930.080078125
2022-05-13,11805.0,32196.66015625,4023.889892578125
2022-05-16,11662.7900390625,32223.419921875,4008.010009765625
2022-05-17,11984.51953125,32654.58984375,4088.85009765625
2022-05-18,11418.150390625,31490.0703125,3923.679931640625
2022-05-19,11388.5,31253.130859375,3900.7900390625
2022-05-20,11354.6201171875,31261.900390625,3901.360107421875
2022-05-23,11535.26953125,31880.240234375,3973.75
2022-05-24,11264.4501953125,31928.619140625,3941.47998046875
2022-05-25,11434.740234375,32120.279296875,3978.72998046875
2022-05-26,11740.650390625,32637.189453125,4057.840087890625
2022-05-27,12131.1298828125,33212.9609375,4158.240234375
2022-05-31,12081.3896484375,32990.12109375,4132.14990234375
2022-06-01,11994.4599609375,32813.23046875,4101.22998046875
2022-06-02,12316.900390625,33248.28125,4176.81982421875
2022-06-03,12012.73046875,32899.69921875,4108.5400390625
2022-06-06,12061.3701171875,32915.78125,4121.43017578125
2022-06-07,12175.23046875,33180.140625,4160.68017578125
2022-06-08,12086.26953125,32910.8984375,4115.77001953125
2022-06-09,11754.23046875,32272.7890625,4017.820068359375
2022-06-10,11340.01953125,31392.7890625,3900.860107421875
2022-06-13,10809.23046875,30516.740234375,3749.6298828125
2022-06-14,10828.349609375,30364.830078125,3735.47998046875
2022-06-15,11099.150390625,30668.529296875,3789.989990234375
2022-06-16,10646.099609375,29927.0703125,3666.77001953125
2022-06-17,10798.349609375,29888.779296875,3674.840087890625
2022-06-21,11069.2998046875,30530.25,3764.7900390625
2022-06-22,11053.080078125,30483.130859375,3759.889892578125
2022-06-23,11232.1904296875,30677.359375,3795.72998046875
2022-06-24,11607.6201171875,31500.6796875,3911.739990234375
2022-06-27,11524.5498046875,31438.259765625,3900.110107421875
2022-06-28,11181.5400390625,30946.990234375,3821.550048828125
2022-06-29,11177.8896484375,31029.310546875,3818.830078125
2022-06-30,11028.740234375,30775.4296875,3785.3798828125
2022-07-01,11127.849609375,31097.259765625,3825.330078125
2022-07-05,11322.240234375,30967.8203125,3831.389892578125
2022-07-06,11361.849609375,31037.6796875,3845.080078125
2022-07-07,11621.349609375,31384.55078125,3902.6201171875
2022-07-08,11635.3095703125,31338.150390625,3899.3798828125
2022-07-11,11372.599609375,31173.83984375,3854.429931640625
2022-07-12,11264.73046875,30981.330078125,3818.800048828125
2022-07-13,11247.580078125,30772.7890625,3801.780029296875
2022-07-14,11251.1904296875,30630.169921875,3790.3798828125
2022-07-15,11452.419921875,31288.259765625,3863.159912109375
2022-07-18,11360.0498046875,31072.609375,3830.85009765625
2022-07-19,11713.150390625,31827.05078125,3936.68994140625
2022-07-20,11897.650390625,31874.83984375,3959.89990234375
2022-07-21,12059.6103515625,32036.900390625,3998.949951171875
2022-07-22,11834.1103515625,31899.2890625,3961.6298828125
2022-07-25,11782.669921875,31990.0390625,3966.840087890625
2022-07-26,11562.5703125,31761.5390625,3921.050048828125
2022-07-27,12032.419921875,32197.58984375,4023.610107421875
2022-07-28,12162.58984375,32529.630859375,4072.429931640625
2022-07-29,12390.6904296875,32845.12890625,4130.2900390625
2022-08-01,12368.98046875,32798.3984375,4118.6298828125
2022-08-02,12348.759765625,32396.169921875,4091.18994140625
2022-08-03,12668.16015625,32812.5,4155.169921875
2022-08-04,12720.580078125,32726.8203125,4151.93994140625
2022-08-05,12657.5498046875,32803.46875,4145.18994140625
2022-08-08,12644.4599609375,32832.5390625,4140.06005859375
2022-08-09,12493.9296875,32774.41015625,4122.47021484375
2022-08-10,12854.7998046875,33309.51171875,4210.240234375
2022-08-11,12779.91015625,33336.671875,4207.27001953125
2022-08-12,13047.1904296875,33761.05078125,4280.14990234375
2022-08-15,13128.0498046875,33912.44140625,4297.14013671875
2022-08-16,13102.5498046875,34152.01171875,4305.2001953125
2022-08-17,12938.1201171875,33980.3203125,4274.0400390625
2022-08-18,12965.33984375,33999.0390625,4283.740234375
2022-08-19,12705.2197265625,33706.73828125,4228.47998046875
2022-08-22,12381.5703125,33063.609375,4137.990234375
2022-08-23,12381.2998046875,32909.58984375,4128.72998046875
2022-08-24,12431.5302734375,32969.23046875,4140.77001953125
2022-08-25,12639.26953125,33291.78125,4199.1201171875
2022-08-26,12141.7099609375,32283.400390625,4057.659912109375
2022-08-29,12017.669921875,32098.990234375,4030.610107421875
2022-08-30,11883.1396484375,31790.869140625,3986.159912109375
2022-08-31,11816.2001953125,31510.4296875,3955.0
2022-09-01,11785.1298828125,31656.419921875,3966.85009765625
2022-09-02,11630.8603515625,31318.439453125,3924.260009765625
