Date,SHY,IEF,TLT
2012-01-03,84.44999694824219,104.9000015258789,119.43000030517578
2012-01-04,84.45999908447266,104.56999969482422,118.01000213623047
2012-01-05,84.47000122070312,104.58999633789062,117.80000305175781
2012-01-06,84.45999908447266,105.0,118.7300033569336
2012-01-09,84.4800033569336,105.0199966430664,118.5199966430664
2012-01-10,84.48999786376953,104.80999755859375,118.31999969482422
2012-01-11,84.5199966430664,105.41999816894531,119.86000061035156
2012-01-12,84.51000213623047,105.19999694824219,119.69000244140625
2012-01-13,84.52999877929688,105.66999816894531,120.87999725341797
2012-01-17,84.54000091552734,105.7699966430664,121.44000244140625
2012-01-18,84.52999877929688,105.44000244140625,119.97000122070312
2012-01-19,84.52999877929688,104.80999755859375,118.31999969482422
2012-01-20,84.51000213623047,104.44999694824219,116.9800033569336
2012-01-23,84.5199966430664,104.22000122070312,116.23999786376953
2012-01-24,84.5199966430664,104.33999633789062,116.44999694824219
2012-01-25,84.56999969482422,104.83999633789062,116.16999816894531
2012-01-26,84.58000183105469,105.4000015258789,117.70999908447266
2012-01-27,84.5999984741211,105.72000122070312,118.08000183105469
2012-01-30,84.56999969482422,106.08000183105469,119.47000122070312
2012-01-31,84.56999969482422,106.4800033569336,120.8499984741211
2012-02-01,84.51000213623047,105.91999816894531,119.18000030517578
2012-02-02,84.5199966430664,106.06999969482422,119.12999725341797
2012-02-03,84.5199966430664,105.2300033569336,116.56999969482422
2012-02-06,84.5,105.5199966430664,117.7300033569336
2012-02-07,84.4800033569336,104.83999633789062,116.2699966430664
2012-02-08,84.4800033569336,104.88999938964844,116.36000061035156
2012-02-09,84.44000244140625,104.6500015258789,115.48999786376953
2012-02-10,84.45999908447266,105.23999786376953,116.98999786376953
2012-02-13,84.41000366210938,105.16999816894531,117.13999938964844
2012-02-14,84.43000030517578,105.38999938964844,117.76000213623047
2012-02-15,84.44000244140625,105.47000122070312,117.55000305175781
2012-02-16,84.41000366210938,104.98999786376953,116.61000061035156
2012-02-17,84.38999938964844,104.87999725341797,116.58000183105469
2012-02-21,84.37000274658203,104.5,115.29000091552734
2012-02-22,84.41000366210938,104.91000366210938,116.73999786376953
2012-02-23,84.4000015258789,105.05999755859375,116.73999786376953
2012-02-24,84.37999725341797,105.13999938964844,117.5
2012-02-27,84.4000015258789,105.48999786376953,118.54000091552734
2012-02-28,84.41999816894531,105.54000091552734,118.1500015258789
2012-02-29,84.41999816894531,105.12000274658203,117.43000030517578
2012-03-01,84.37000274658203,104.61000061035156,116.05999755859375
2012-03-02,84.38999938964844,105.02999877929688,117.1500015258789
2012-03-05,84.38999938964844,104.81999969482422,116.22000122070312
2012-03-06,84.38999938964844,105.26000213623047,117.62999725341797
2012-03-07,84.37000274658203,105.05999755859375,116.91000366210938
2012-03-08,84.33999633789062,104.75,115.73999786376953
2012-03-09,84.33999633789062,104.66999816894531,115.97000122070312
2012-03-12,84.3499984741211,104.63999938964844,115.94999694824219
2012-03-13,84.30000305175781,103.88999938964844,113.91000366210938
2012-03-14,84.18000030517578,102.69999694824219,111.04000091552734
2012-03-15,84.2300033569336,102.66999816894531,111.20999908447266
2012-03-16,84.27999877929688,102.63999938964844,111.43000030517578
2012-03-19,84.22000122070312,102.01000213623047,110.0999984741211
2012-03-20,84.19999694824219,102.05999755859375,110.54000091552734
2012-03-21,84.25,102.58000183105469,111.79000091552734
2012-03-22,84.26000213623047,102.70999908447266,112.1500015258789
2012-03-23,84.2699966430664,103.08999633789062,113.20999908447266
2012-03-26,84.29000091552734,102.97000122070312,112.62999725341797
2012-03-27,84.31999969482422,103.54000091552734,113.44000244140625
2012-03-28,84.30000305175781,103.36000061035156,113.27999877929688
2012-03-29,84.33000183105469,103.79000091552734,114.12999725341797
2012-03-30,84.31999969482422,103.27999877929688,112.19999694824219
2012-04-02,84.30999755859375,103.3499984741211,112.52999877929688
2012-04-03,84.25,102.58999633789062,110.58000183105469
2012-04-04,84.2699966430664,103.11000061035156,112.0999984741211
2012-04-05,84.30000305175781,103.56999969482422,112.91000366210938
2012-04-09,84.36000061035156,104.62999725341797,115.55000305175781
2012-04-10,84.4000015258789,105.12000274658203,116.86000061035156
2012-04-11,84.38999938964844,104.70999908447266,115.45999908447266
2012-04-12,84.4000015258789,104.5,114.9800033569336
2012-04-13,84.41000366210938,105.12999725341797,116.83999633789062
2012-04-16,84.41000366210938,105.0999984741211,116.66999816894531
2012-04-17,84.41000366210938,104.98999786376953,116.5999984741211
2012-04-18,84.43000030517578,105.19999694824219,116.94000244140625
2012-04-19,84.44000244140625,105.31999969482422,117.05000305175781
2012-04-20,84.44000244140625,105.33000183105469,117.06999969482422
2012-04-23,84.45999908447266,105.54000091552734,117.91999816894531
2012-04-24,84.43000030517578,105.2699966430664,117.08999633789062
2012-04-25,84.44999694824219,105.13999938964844,116.48999786376953
2012-04-26,84.45999908447266,105.48999786376953,117.19000244140625
2012-04-27,84.44000244140625,105.5999984741211,117.29000091552734
2012-04-30,84.45999908447266,105.69000244140625,117.31999969482422
2012-05-01,84.43000030517578,105.33000183105469,116.43000030517578
2012-05-02,84.44000244140625,105.52999877929688,117.25
2012-05-03,84.43000030517578,105.5199966430664,117.22000122070312
2012-05-04,84.45999908447266,105.94000244140625,118.13999938964844
2012-05-07,84.45999908447266,105.91000366210938,118.16000366210938
2012-05-08,84.47000122070312,106.1500015258789,118.79000091552734
2012-05-09,84.45999908447266,106.23999786376953,118.87000274658203
2012-05-10,84.44999694824219,106.08999633789062,118.5199966430664
2012-05-11,84.45999908447266,106.44000244140625,119.5
